preparing vectors...Hang Tight...
Vectors prepared.
Applying KMeans Clustering to vectors...Hang Tight...
KMeans applied, clusters formed
Predicting labels...Hang Tight...
Writing to file...
Done...File saved to current Directory
None
         615113 function calls (615084 primitive calls) in 406.109 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.000    0.000 re.py:231(compile)
        1    0.000    0.000    0.000    0.000 re.py:286(_compile)
       26    0.000    0.000    0.000    0.000 shape_base.py:61(atleast_2d)
        2    0.000    0.000    0.000    0.000 six.py:437(iteritems)
        1    0.000    0.000    0.000    0.000 sparsefuncs.py:23(_raise_error_wrong_axis)
        1    0.000    0.000    0.031    0.031 sparsefuncs.py:65(mean_variance_axis)
      657    0.016    0.000    0.031    0.000 sputils.py:119(get_index_dtype)
        1    0.000    0.000    0.000    0.000 sputils.py:172(get_sum_dtype)
       52    0.000    0.000    0.000    0.000 sputils.py:183(isscalarlike)
      174    0.000    0.000    0.000    0.000 sputils.py:188(isintlike)
       76    0.000    0.000    0.000    0.000 sputils.py:20(upcast)
      230    0.000    0.000    0.000    0.000 sputils.py:200(isshape)
      199    0.000    0.000    0.000    0.000 sputils.py:215(issequence)
       52    0.000    0.000    0.000    0.000 sputils.py:227(isdense)
        1    0.000    0.000    0.000    0.000 sputils.py:231(validateaxis)
       50    0.016    0.000    0.016    0.000 sputils.py:265(_unpack_index)
       50    0.000    0.000    0.000    0.000 sputils.py:293(_check_ellipsis)
       50    0.000    0.000    0.000    0.000 sputils.py:331(_check_boolean)
        2    0.000    0.000    0.000    0.000 sputils.py:54(upcast_char)
      279    0.000    0.000    0.000    0.000 sputils.py:91(to_native)
        2    0.000    0.000    0.000    0.000 sre_compile.py:223(_compile_charset)
        2    0.000    0.000    0.000    0.000 sre_compile.py:250(_optimize_charset)
        1    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
        1    0.000    0.000    0.000    0.000 sre_compile.py:414(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 sre_compile.py:441(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 sre_compile.py:482(_compile_info)
        2    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
        1    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        1    0.000    0.000    0.000    0.000 sre_compile.py:557(compile)
      2/1    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        2    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        3    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        6    0.000    0.000    0.000    0.000 sre_parse.py:163(__getitem__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
      3/2    0.000    0.000    0.000    0.000 sre_parse.py:173(getwidth)
        1    0.000    0.000    0.000    0.000 sre_parse.py:223(__init__)
       10    0.000    0.000    0.000    0.000 sre_parse.py:232(__next)
        3    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
        8    0.000    0.000    0.000    0.000 sre_parse.py:253(get)
        1    0.000    0.000    0.000    0.000 sre_parse.py:282(pos)
        3    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
        4    0.000    0.000    0.000    0.000 sre_parse.py:342(_escape)
        1    0.000    0.000    0.000    0.000 sre_parse.py:407(_parse_sub)
        1    0.000    0.000    0.000    0.000 sre_parse.py:469(_parse)
        1    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 sre_parse.py:782(_parse_flags)
        2    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 sre_parse.py:829(fix_flags)
        1    0.000    0.000    0.000    0.000 sre_parse.py:845(parse)
    10197    0.047    0.000    0.078    0.000 text.py:105(decode)
    10197    0.000    0.000    0.234    0.000 text.py:126(_word_ngrams)
    10197    0.234    0.000    0.234    0.000 text.py:130(<listcomp>)
        1    0.000    0.000    0.000    0.000 text.py:181(build_preprocessor)
    10197    0.016    0.000    0.016    0.000 text.py:191(<lambda>)
    10197    0.031    0.000    0.062    0.000 text.py:207(<lambda>)
        1    0.000    0.000    0.000    0.000 text.py:211(build_tokenizer)
    10197    0.016    0.000    0.641    0.000 text.py:216(<lambda>)
        1    0.000    0.000    0.000    0.000 text.py:218(get_stop_words)
        1    0.000    0.000    0.000    0.000 text.py:222(build_analyzer)
    10197    0.031    0.000    1.047    0.000 text.py:240(<lambda>)
        1    0.000    0.000    0.000    0.000 text.py:247(_validate_vocabulary)
        1    0.000    0.000    0.016    0.016 text.py:503(_document_frequency)
        1    0.047    0.047    0.188    0.188 text.py:690(_sort_features)
        1    0.078    0.078    0.141    0.141 text.py:704(_limit_features)
        1    0.656    0.656    2.078    2.078 text.py:745(_count_vocab)
        1    0.000    0.000    2.406    2.406 text.py:809(fit_transform)
        1    0.000    0.000    0.000    0.000 text.py:89(_check_stop_list)
        2    0.000    0.000    0.000    0.000 text.py:936(_make_int_array)
        1    0.062    0.062    2.484    2.484 tfidfVectorizer.py:104(vectorize)
        1    0.000    0.000    5.094    5.094 tfidfVectorizer.py:172(prepareVectors)
        1    0.000    0.000    0.000    0.000 tfidfVectorizer.py:33(__init__)
        1    0.000    0.000    0.000    0.000 tfidfVectorizer.py:38(openFile)
    81575    0.516    0.000    1.266    0.000 tfidfVectorizer.py:44(stringToList)
        1    1.297    1.297    2.609    2.609 tfidfVectorizer.py:67(makeDocuments)
       51    0.000    0.000    0.000    0.000 validation.py:111(_num_samples)
       51    0.000    0.000    0.000    0.000 validation.py:132(_shape_repr)
      153    0.000    0.000    0.000    0.000 validation.py:159(<genexpr>)
       50    0.000    0.000    0.094    0.002 validation.py:210(_ensure_sparse_format)
       51    0.000    0.000    0.094    0.002 validation.py:272(check_array)
       51    0.000    0.000    0.047    0.001 validation.py:49(_assert_all_finite)
        4    0.000    0.000    0.000    0.000 validation.py:565(check_random_state)
        1    0.000    0.000    0.000    0.000 validation.py:68(as_float_array)


